"chNtimeDate25"	"timeDate"	"RFID"
"AXX04432212210120"	"432212210120"	"1016B29C"
"AXX10432212210120"	"432212210120"	"1016B29C"
"AXX15432212210120"	"432212210120"	"1016B29C"
"AXX04442212210120"	"442212210120"	"1016B29C"
"AXX14322412210120"	"322412210120"	"103F6751"
"AXX03332412210120"	"332412210120"	"103F6751"
"AXX08332412210120"	"332412210120"	"103F6751"
"AXX13332412210120"	"332412210120"	"103F6751"
"AXX03342412210120"	"342412210120"	"103F6751"
"AXX08342412210120"	"342412210120"	"103F6751"
"AXX13342412210120"	"342412210120"	"103F6751"
"AXX02352412210120"	"352412210120"	"103F6751"
"AXX08352412210120"	"352412210120"	"103F6751"
"AXX13352412210120"	"352412210120"	"103F6751"
"AXX14562412210120"	"562412210120"	"103F4206"
"AXX03572412210120"	"572412210120"	"103F4206"
"AXX09572412210120"	"572412210120"	"103F4206"
"AXX14572412210120"	"572412210120"	"103F4206"
"AXX04462512210120"	"462512210120"	"10174C39"
"AXX09462512210120"	"462512210120"	"10174C39"
"AXX14462512210120"	"462512210120"	"10174C39"
"AXX04472512210120"	"472512210120"	"10174C39"
"AXX09472512210120"	"472512210120"	"10174C39"
"AXX14472512210120"	"472512210120"	"10174C39"
"AXX04482512210120"	"482512210120"	"10174C39"
"AXX10132612210120"	"132612210120"	"1016A405"
"AXX15132612210120"	"132612210120"	"1016A405"
"AXX05142612210120"	"142612210120"	"1016A405"
"AXX10142612210120"	"142612210120"	"1016A405"
"AXX15142612210120"	"142612210120"	"1016A405"
"AXX05152612210120"	"152612210120"	"1016A405"
"AXX10152612210120"	"152612210120"	"1016A405"
"AXX06272612210120"	"272612210120"	"103F4206"
"AXX11272612210120"	"272612210120"	"103F4206"
"AXX01282612210120"	"282612210120"	"1016FA48"
"AXX06282612210120"	"282612210120"	"1016FA48"
"AXX11282612210120"	"282612210120"	"1016FA48"
"AXX01292612210120"	"292612210120"	"1016FA48"
"AXX06292612210120"	"292612210120"	"1016FA48"
"AXX07352612210120"	"352612210120"	"103F4206"
"AXX13352612210120"	"352612210120"	"103F4206"
"AXX02362612210120"	"362612210120"	"103F4206"
"AXX07362612210120"	"362612210120"	"103F4206"
"AXX13362612210120"	"362612210120"	"103F4206"
"AXX02372612210120"	"372612210120"	"103F4206"
"AXX07372612210120"	"372612210120"	"103F4206"
"AXX12372612210120"	"372612210120"	"103F4206"
"AXX02382612210120"	"382612210120"	"103F4206"
"AXX07382612210120"	"382612210120"	"103F4206"
"AXX09422612210120"	"422612210120"	"1016A405"
"AXX14422612210120"	"422612210120"	"1016A405"
"AXX04432612210120"	"432612210120"	"1016A405"
"AXX09432612210120"	"432612210120"	"1016A405"
"AXX14432612210120"	"432612210120"	"1016A405"
"AXX04442612210120"	"442612210120"	"1016A405"
"AXX09442612210120"	"442612210120"	"1016A405"
"AXX14442612210120"	"442612210120"	"1016A405"
"AXX04452612210120"	"452612210120"	"1016A405"
"AXX09452612210120"	"452612210120"	"1016A405"
"AXX13472612210120"	"472612210120"	"103F6751"
"AXX03482612210120"	"482612210120"	"103F6751"
"AXX08482612210120"	"482612210120"	"103F6751"
"AXX13482612210120"	"482612210120"	"103F6751"
"AXX02492612210120"	"492612210120"	"103F6751"
"AXX08492612210120"	"492612210120"	"103F6751"
"AXX13492612210120"	"492612210120"	"103F6751"
"AXX02502612210120"	"502612210120"	"103F6751"
"AXX07502612210120"	"502612210120"	"103F6751"
"AXX13502612210120"	"502612210120"	"103F6751"
"AXX12522612210120"	"522612210120"	"10174C39"
"AXX02532612210120"	"532612210120"	"10174C39"
"AXX07532612210120"	"532612210120"	"10174C39"
"AXX12532612210120"	"532612210120"	"10174C39"
"AXX02542612210120"	"542612210120"	"10174C39"
"AXX08022712210120"	"022712210120"	"1016F006"
"AXX08092712210120"	"092712210120"	"1016A405"
"AXX13092712210120"	"092712210120"	"1016A405"
"AXX03102712210120"	"102712210120"	"1016A405"
"AXX08102712210120"	"102712210120"	"1016A405"
"AXX13172712210120"	"172712210120"	"1016FA48"
"AXX03182712210120"	"182712210120"	"1016FA48"
"AXX08182712210120"	"182712210120"	"1016FA48"
"AXX13182712210120"	"182712210120"	"1016FA48"
"AXX03192712210120"	"192712210120"	"1016FA48"
"AXX08192712210120"	"192712210120"	"1016FA48"
"AXX13192712210120"	"192712210120"	"1016FA48"
"AXX02202712210120"	"202712210120"	"1016FA48"
"AXX08202712210120"	"202712210120"	"1016FA48"
"AXX13272712210120"	"272712210120"	"1016A405"
"AXX02282712210120"	"282712210120"	"1016A405"
"AXX08282712210120"	"282712210120"	"1016A405"
"AXX13282712210120"	"282712210120"	"1016A405"
"AXX02292712210120"	"292712210120"	"1016A405"
"AXX08292712210120"	"292712210120"	"1016A405"
"AXX13292712210120"	"292712210120"	"1016A405"
"AXX06362712210120"	"362712210120"	"10174C39"
"AXX12362712210120"	"362712210120"	"10174C39"
"AXX01372712210120"	"372712210120"	"10174C39"
"AXX06372712210120"	"372712210120"	"10174C39"
"AXX11372712210120"	"372712210120"	"10174C39"
"AXX01382712210120"	"382712210120"	"10174C39"
"AXX06382712210120"	"382712210120"	"10174C39"
"AXX11382712210120"	"382712210120"	"10174C39"
"AXX01392712210120"	"392712210120"	"10174C39"
"AXX06392712210120"	"392712210120"	"10174C39"
"AXX11392712210120"	"392712210120"	"10174C39"
"AXX01402712210120"	"402712210120"	"10174C39"
"AXX08422712210120"	"422712210120"	"103F6751"
"AXX13422712210120"	"422712210120"	"103F6751"
"AXX02432712210120"	"432712210120"	"103F6751"
"AXX07432712210120"	"432712210120"	"103F6751"
"AXX12432712210120"	"432712210120"	"1016F006"
"AXX14442712210120"	"442712210120"	"1016F006"
"AXX09512712210120"	"512712210120"	"1016A405"
"AXX15512712210120"	"512712210120"	"1016A405"
"AXX04522712210120"	"522712210120"	"1016A405"
"AXX09522712210120"	"522712210120"	"1016A405"
"AXX15522712210120"	"522712210120"	"1016A405"
"AXX04532712210120"	"532712210120"	"1016A405"
"AXX10532712210120"	"532712210120"	"1016A405"
"AXX12552712210120"	"552712210120"	"1016FA48"
"AXX01562712210120"	"562712210120"	"1016FA48"
"AXX07562712210120"	"562712210120"	"1016FA48"
"AXX12562712210120"	"562712210120"	"1016FA48"
"AXX01572712210120"	"572712210120"	"1016FA48"
"AXX07452812210120"	"452812210120"	"1016FA48"
"AXX13452812210120"	"452812210120"	"1016FA48"
"AXX02462812210120"	"462812210120"	"1016FA48"
"AXX07462812210120"	"462812210120"	"1016FA48"
"AXX13462812210120"	"462812210120"	"1016FA48"
"AXX02472812210120"	"472812210120"	"1016FA48"
"AXX07472812210120"	"472812210120"	"1016FA48"
"AXX05572812210120"	"572812210120"	"1016F006"
"AXX03152912210120"	"152912210120"	"10174C39"
"AXX09152912210120"	"152912210120"	"10174C39"
"AXX14152912210120"	"152912210120"	"10174C39"
"AXX03162912210120"	"162912210120"	"10174C39"
"AXX09162912210120"	"162912210120"	"10174C39"
"AXX14162912210120"	"162912210120"	"10174C39"
"AXX04232912210120"	"232912210120"	"103F4254"
"AXX08482912210120"	"482912210120"	"103F4254"
"AXX01522912210120"	"522912210120"	"1016FA48"
"AXX06522912210120"	"522912210120"	"1016FA48"
"AXX11522912210120"	"522912210120"	"1016FA48"
"AXX01532912210120"	"532912210120"	"1016FA48"
"AXX06532912210120"	"532912210120"	"1016FA48"
"AXX11532912210120"	"532912210120"	"1016FA48"
"AXX01542912210120"	"542912210120"	"1016FA48"
"AXX00313012210120"	"313012210120"	"10174C39"
"AXX06313012210120"	"313012210120"	"10174C39"
"AXX11313012210120"	"313012210120"	"10174C39"
"AXX05343012210120"	"343012210120"	"103F4254"
"AXX01043112210120"	"043112210120"	"103F4254"
"AXX06043112210120"	"043112210120"	"103F4254"
"AXX12043112210120"	"043112210120"	"103F4254"
"AXX01053112210120"	"053112210120"	"103F4254"
"AXX06053112210120"	"053112210120"	"103F4254"
"AXX12053112210120"	"053112210120"	"103F4254"
"AXX02393212210120"	"393212210120"	"1016DF12"
"AXX07393212210120"	"393212210120"	"1016DF12"
"AXX13393212210120"	"393212210120"	"1016DF12"
"AXX07183312210120"	"183312210120"	"103F4BA3"
"AXX12183312210120"	"183312210120"	"103F4BA3"
"AXX01193312210120"	"193312210120"	"103F4BA3"
"AXX06193312210120"	"193312210120"	"103F4BA3"
"AXX11213312210120"	"213312210120"	"103FAE1E"
"AXX01223312210120"	"223312210120"	"103FAE1E"
"AXX06223312210120"	"223312210120"	"103FAE1E"
"AXX01243312210120"	"243312210120"	"103F6CD3"
"AXX11243312210120"	"243312210120"	"103F6CD3"
"AXX08263312210120"	"263312210120"	"1016DF12"
"AXX14263312210120"	"263312210120"	"1016DF12"
"AXX03273312210120"	"273312210120"	"1016DF12"
"AXX08273312210120"	"273312210120"	"1016DF12"
"AXX14273312210120"	"273312210120"	"1016DF12"
"AXX03283312210120"	"283312210120"	"1016DF12"
"AXX08283312210120"	"283312210120"	"1016DF12"
"AXX03343312210120"	"343312210120"	"103F60C4"
"AXX08343312210120"	"343312210120"	"103F60C4"
"AXX14343312210120"	"343312210120"	"103F60C4"
"AXX03353312210120"	"353312210120"	"103F60C4"
"AXX05503312210120"	"503312210120"	"103F4BA3"
"AXX10503312210120"	"503312210120"	"103F4BA3"
"AXX00513312210120"	"513312210120"	"103F4BA3"
"AXX05513312210120"	"513312210120"	"103F4BA3"
