btoRing,TagID_Hex,RFID,SPEC,dateFirstCaptured,ageFirstCaptured,SEX
T203102,0017D16BA3,17D16BA3,BT,04/10/2012,3,
T203103,0017D15203,17D15203,GT,04/10/2012,3,F
T203104,0017D14B9D,17D14B9D,BT,04/10/2012,4,
T203105,0017BD61AF,17BD61AF,GT,04/10/2012,3,F
T203106,0017D146D1,17D146D1,BT,04/10/2012,3,
T203107,0017D153AC,17D153AC,BT,04/10/2012,3,
T203108,0017D13219,17D13219,GT,04/10/2012,4,M
T203109,0017D1387F,17D1387F,GT,04/10/2012,3,F
T203111,0017D14808,17D14808,BT,04/10/2012,3,
T203113,0017D13409,17D13409,GT,04/10/2012,3,F
T203116,0017BD88DE,17BD88DE,GT,04/10/2012,3,M
T203114,0017D1685A,17D1685A,BT,04/10/2012,3,
T203115,0017D15043,17D15043,BT,04/10/2012,3,M
T203117,0017D13D43,17D13D43,BT,04/10/2012,4,
T203118,0017D1784B,17D1784B,BT,04/10/2012,4,
T203119,0017D1480E,17D1480E,GT,04/10/2012,4,M
T203120,0017D12F99,17D12F99,BT,04/10/2012,3,
T203121,04185C61BE,185C61BE,GT,04/10/2012,3,F
T203122,04185C30B5,185C30B5,GT,04/10/2012,3,F
T203123,00178C37B3,178C37B3,GT,04/10/2012,4,M
T203124,041815AE6F,1815AE6F,GT,04/10/2012,4,M
T203125,0017D15F39,17D15F39,GT,04/10/2012,3,M
T203126,0418158CD7,18158CD7,GT,04/10/2012,3,M
T203127,0017D17C26,17D17C26,GT,04/10/2012,3,M
T203128,0017D13CC5,17D13CC5,GT,04/10/2012,4,M
T203129,0017D13FE9,17D13FE9,GT,04/10/2012,4,F
T203130,0017D16F0C,17D16F0C,GT,04/10/2012,4,F
T203131,0017D15147,17D15147,BT,04/10/2012,3,
T203132,0017D16D89,17D16D89,BT,04/10/2012,4,
T203133,0017D157F1,17D157F1,BT,04/10/2012,3,
T203134,0017D15CAE,17D15CAE,BT,04/10/2012,4,
T203135,0017D16FE6,17D16FE6,BT,04/10/2012,4,
T203136,0017D13BED,17D13BED,GT,04/10/2012,4,M
T203137,04185C3B17,185C3B17,GT,04/10/2012,4,M
T203138,04185C59EF,185C59EF,GT,04/10/2012,4,F
T203139,0017D1474A,17D1474A,GT,04/10/2012,4,M
T203140,04198EA03A,198EA03A,GT,04/10/2012,4,M
T203143,0017D150AB,17D150AB,BT,04/10/2012,3,
T203144,0017D1398A,17D1398A,BT,04/10/2012,4,
T203145,0017D153ED,17D153ED,BT,04/10/2012,3,
T203146,0418D0612B,18D0612B,BT,04/10/2012,3,
T203147,0017D16127,17D16127,BT,04/10/2012,3,
T203148,0017D1571C,17D1571C,GT,04/10/2012,3,M
T203149,0017D13F02,17D13F02,BT,04/10/2012,4,
T203150,0017D17B5F,17D17B5F,GT,04/10/2012,3,F
T203151,0017BD8E84,17BD8E84,GT,04/10/2012,3,F
T203152,0017D1505F,17D1505F,GT,04/10/2012,4,M
T203153,0017D16BEE,17D16BEE,GT,04/10/2012,3,M
T203154,418158013,18158013,BT,05/10/2012,4,
T203155,0017D177B1,17D177B1,GT,05/10/2012,4,F
T203156,0017D17854,17D17854,BT,05/10/2012,3,
T203157,0017D14A5A,17D14A5A,BT,05/10/2012,3,
T203158,0017D17A02,17D17A02,GT,05/10/2012,4,F
T203159,0017D17B89,17D17B89,BT,05/10/2012,4,
T203160,0017D13F3F,17D13F3F,GT,05/10/2012,4,F
T203161,0017D17CA9,17D17CA9,GT,05/10/2012,3,F
T203162,0017D16CB9,17D16CB9,GT,05/10/2012,4,F
T203163,0017D129F1,17D129F1,GT,05/10/2012,3,F
T203164,0017D134B0,17D134B0,BT,05/10/2012,4,
T203166,0017D16075,17D16075,BT,05/10/2012,4,
T203167,0017D12EA7,17D12EA7,BT,05/10/2012,4,
T203168,0017D12E53,17D12E53,BT,05/10/2012,3,
T203169,0017D15AEF,17D15AEF,GT,05/10/2012,2,M
T203170,0017D14F54,17D14F54,BT,05/10/2012,3,
T203171,0017D16037,17D16037,GT,05/10/2012,4,F
T203172,0017D12D6B,17D12D6B,GT,05/10/2012,3,F
T203173,0017D14276,17D14276,GT,05/10/2012,3,M
T203174,0017D156E7,17D156E7,BT,08/10/2012,4,
T203175,0017D17032,17D17032,BT,08/10/2012,3,
T203176,0418D05A82,18D05A82,BT,08/10/2012,4,
T203177,0017D162FF,17D162FF,BT,08/10/2012,3,
T203178,0017D1591C,17D1591C,GT,08/10/2012,3,F
X779411,0017D17B74,17D17B74,GT,08/10/2012,6,F
T203179,04185C300A,185C300A,GT,08/10/2012,4,M
T203180,0017D1511B,17D1511B,BT,08/10/2012,4,
T203181,0017D12A02,17D12A02,GT,08/10/2012,3,M
T203182,0017D13DD4,17D13DD4,GT,08/10/2012,4,M
T203183,0017D15E5F,17D15E5F,GT,08/10/2012,3,F
T203184,0017D17B63,17D17B63,BT,08/10/2012,3,
T203185,0017D16A2D,17D16A2D,GT,08/10/2012,3,F
T203186,0017D17248,17D17248,GT,08/10/2012,4,F
T203187,0017D131E2,17D131E2,GT,08/10/2012,4,M
T203188,0017D15793,17D15793,GT,08/10/2012,4,M
T203189,0418D05F0C,18D05F0C,BT,08/10/2012,3,
T203191,0017D12F96,17D12F96,BT,08/10/2012,3,
T203193,0017D142FD,17D142FD,GT,08/10/2012,4,F
T203194,0017D13131,17D13131,GT,08/10/2012,3,F
T203195,04198E360D,198E360D,GT,08/10/2012,4,F
T203196,0017D13CF0,17D13CF0,GT,08/10/2012,3,F
T203197,0000C3A74B,00C3A74B,BT,08/10/2012,4,
T203198,0017D17BCB,17D17BCB,GT,08/10/2012,4,F
T203199,0017D14368,17D14368,GT,08/10/2012,4,F
T203200,0017D14E85,17D14E85,BT,08/10/2012,3,
T203201,0017D15A03,17D15A03,BT,08/10/2012,3,
T203202,0017D15B47,17D15B47,BT,08/10/2012,4,
T203203,0017D137E6,17D137E6,BT,08/10/2012,3,
T203204,0017D16825,17D16825,BT,08/10/2012,4,
T203205,0017D136C1,17D136C1,BT,08/10/2012,4,
T203206,0017D16F14,17D16F14,GT,08/10/2012,3,F
T203207,0017D16B39,17D16B39,GT,08/10/2012,3,F
T203208,0017D12AD0,17D12AD0,BT,08/10/2012,3,
T203209,0017D13465,17D13465,GT,11/10/2012,3,F
T203210,0017D14CCF,17D14CCF,GT,11/10/2012,3,F
T203211,0017D169C9,17D169C9,GT,11/10/2012,3,M
T203212,0017D1490D,17D1490D,GT,11/10/2012,3,F
T203213,0017D17501,17D17501,GT,11/10/2012,4,M
T203214,0017D13E53,17D13E53,GT,11/10/2012,3,F
T203215,0418D0533D,18D0533D,GT,12/10/2012,4,F
T203216,0017D13E77,17D13E77,BT,12/10/2012,4,
T203217,0017D16542,17D16542,GT,12/10/2012,3,F
T203218,0017D16565,17D16565,BT,12/10/2012,4,
T203219,0017D15AD4,17D15AD4,GT,12/10/2012,4,F
T203220,0017D1314E,17D1314E,GT,12/10/2012,3,F
T203221,0418D06696,18D06696,BT,12/10/2012,4,
T203222,0017D130F3,17D130F3,BT,12/10/2012,4,
T203223,0017D13679,17D13679,BT,12/10/2012,3,
T203224,0017D14CF7,17D14CF7,BT,12/10/2012,3,
T203225,0017D16987,17D16987,GT,12/10/2012,4,M
T203226,0017D14235,17D14235,BT,12/10/2012,4,
L916834,0017D12B30,17D12B30,BT,12/10/2012,4,
T203227,0017D17717,17D17717,BT,12/10/2012,4,
T203228,0418D0670A,18D0670A,GT,12/10/2012,3,M
T203229,0017D14D19,17D14D19,BT,12/10/2012,3,
T203230,0418D02328,18D02328,GT,12/10/2012,4,F
T203231,0017D14DA4,17D14DA4,GT,12/10/2012,3,F
T203232,0017D15D89,17D15D89,BT,12/10/2012,3,
T203233,0418157E2D,18157E2D,GT,12/10/2012,4,M
T203234,0017D15E81,17D15E81,GT,12/10/2012,3,F
T203235,0017D17485,17D17485,GT,12/10/2012,3,F
T203236,0418D02B71,18D02B71,BT,12/10/2012,4,
T203237,0017D13E79,17D13E79,GT,19/10/2012,4,M
T203238,0017D140B2,17D140B2,GT,19/10/2012,3,F
T203239,0017D16DEF,17D16DEF,GT,19/10/2012,3,M
T203240,0017D155A1,17D155A1,GT,19/10/2012,3,F
Y464846,0017D16188,17D16188,GT,19/10/2012,3,F
T203241,0017D12EBE,17D12EBE,BT,19/10/2012,3,
T203242,0017D16E68,17D16E68,BT,19/10/2012,4,
T203243,0017D13B0A,17D13B0A,BT,19/10/2012,4,
T203244,0017D17144,17D17144,GT,19/10/2012,3,F
T203245,0017D13A78,17D13A78,BT,19/10/2012,3,
T203246,0017D17A77,17D17A77,GT,19/10/2012,3,F
T203247,0017D127DA,17D127DA,BT,19/10/2012,4,
T203248,0017D16520,17D16520,GT,19/10/2012,3,M
T203249,0418D05170,18D05170,BT,19/10/2012,3,
T203250,0017D14BF6,17D14BF6,BT,19/10/2012,4,
T203251,0017D1686C,17D1686C,BT,19/10/2012,4,
T203252,0017D15FB9,17D15FB9,BT,19/10/2012,3,
T203253,0017D13EC8,17D13EC8,GT,19/10/2012,3,F
T203255,0017D142EC,17D142EC,GT,19/10/2012,4,M
T203256,0017D16656,17D16656,GT,19/10/2012,3,F
T203257,0017D1701B,17D1701B,BT,19/10/2012,4,
T203258,0017D15F9B,17D15F9B,BT,19/10/2012,3,
T203259,0017D1451E,17D1451E,GT,19/10/2012,4,F
T203260,0418D03268,18D03268,BT,19/10/2012,4,
T203261,0017D147B1,17D147B1,BT,19/10/2012,4,
T203262,0017D131EA,17D131EA,GT,21/10/2012,3,M
T203263,0017D17DD6,17D17DD6,BT,21/10/2012,3,
T203264,0017D14D34,17D14D34,GT,21/10/2012,3,F
T203265,0017D12A18,17D12A18,BT,21/10/2012,4,
T203266,0017BD80F1,17BD80F1,GT,21/10/2012,3,F
T203267,0017D14020,17D14020,BT,21/10/2012,4,
T203268,0017D13B85,17D13B85,BT,21/10/2012,4,
T203269,0418D041B7,18D041B7,GT,21/10/2012,3,F
T203270,0017D12FB2,17D12FB2,BT,21/10/2012,3,
T203271,0017D12D16,17D12D16,GT,21/10/2012,4,
T203272,0017D145B6,17D145B6,BT,21/10/2012,3,
T203274,0017D1547F,17D1547F,BT,21/10/2012,4,
T203275,0017D128F0,17D128F0,BT,21/10/2012,3,
T203276,0017D14897,17D14897,BT,21/10/2012,3,
T203277,0017D164E6,17D164E6,BT,21/10/2012,4,
T203278,0017D15A47,17D15A47,BT,21/10/2012,4,
T203279,0017D1557E,17D1557E,GT,21/10/2012,4,M
T203281,0418D04356,18D04356,GT,21/10/2012,4,M
T203282,0418D06578,18D06578,GT,21/10/2012,4,F
T203283,04185C5A8A,185C5A8A,GT,21/10/2012,4,F
T203284,0017D13563,17D13563,BT,26/10/2012,3,
T203285,0017D16802,17D16802,BT,26/10/2012,3,
T203287,0017D15E30,17D15E30,BT,26/10/2012,3,
T203288,0017D1653C,17D1653C,BT,26/10/2012,3,
T203291,0017D172CF,17D172CF,GT,26/10/2012,3,M
T203292,0017D12D0F,17D12D0F,BT,26/10/2012,3,
T203293,0017D14D72,17D14D72,GT,26/10/2012,4,M
T203294,0017D163B8,17D163B8,BT,26/10/2012,3,
T203295,0017D12F52,17D12F52,GT,26/10/2012,3,M
T203296,0017D14035,17D14035,BT,26/10/2012,4,
T203297,0017D15968,17D15968,BT,26/10/2012,3,
T203298,0017D13DE2,17D13DE2,BT,26/10/2012,3,
T203299,0017D16FB7,17D16FB7,BT,28/10/2012,4,
T203300,0017D17685,17D17685,BT,28/10/2012,4,
T203301,0017D17795,17D17795,GT,28/10/2012,3,F
T203302,0017D168E6,17D168E6,BT,28/10/2012,4,
T203303,0017D16F11,17D16F11,BT,28/10/2012,3,
T203304,0017D17DF8,17D17DF8,GT,28/10/2012,3,F
T203306,0017D15F6F,17D15F6F,BT,09/11/2012,4,
T203311,0017D1495F,17D1495F,GT,09/11/2012,4,F
T203312,0017D13257,17D13257,GT,09/11/2012,4,F
T203313,0017D13A82,17D13A82,BT,09/11/2012,4,
T203314,0017D16861,17D16861,BT,09/11/2012,4,
T203315,0017D15331,17D15331,BT,22/11/2012,4,
T203316,0017D14DDA,17D14DDA,BT,22/11/2012,3,
T203318,0017D1533E,17D1533E,BT,22/11/2012,3,
T203319,0017D12F40,17D12F40,BT,22/11/2012,4,
T203320,0017D143A2,17D143A2,BT,22/11/2012,3,
T203321,0017D15CD8,17D15CD8,BT,22/11/2012,4,
T203322,0017D17E3D,17D17E3D,BT,22/11/2012,4,
T203324,0017D161A4,17D161A4,BT,22/11/2012,4,
T203325,0017D147DD,17D147DD,BT,22/11/2012,4,
T203326,0017D1594E,17D1594E,BT,22/11/2012,4,
T203327,0017D130B0,17D130B0,BT,22/11/2012,3,
T203328,0017D131D1,17D131D1,BT,22/11/2012,4,
T203329,0017D166A6,17D166A6,BT,22/11/2012,4,
T203330,0017D13BFC,17D13BFC,BT,22/11/2012,4,
T203331,0017D15A64,17D15A64,BT,22/11/2012,4,
T203332,0017D16C0C,17D16C0C,BT,22/11/2012,4,
T203336,0017D1798B,17D1798B,GT,30/11/2012,3,F
T203337,0017D14C4B,17D14C4B,BT,30/11/2012,4,
T203338,0017D16F58,17D16F58,BT,30/11/2012,4,
T203339,0017D153D6,17D153D6,BT,30/11/2012,3,
T203341,0017D13F79,17D13F79,BT,30/11/2012,4,
T203342,0017D12B6E,17D12B6E,BT,30/11/2012,4,
T203343,0017D13A63,17D13A63,BT,30/11/2012,4,
T203344,0418D06832,18D06832,BT,30/11/2012,4,
T203345,0017D141F0,17D141F0,BT,30/11/2012,3,
T203346,0017D139F2,17D139F2,BT,30/11/2012,3,
T203347,0017D170F2,17D170F2,BT,30/11/2012,4,
T203348,0017D17D43,17D17D43,BT,30/11/2012,4,
T203349,0017D16D2C,17D16D2C,BT,30/11/2012,4,
T203351,0017D177EE,17D177EE,GT,19/12/2012,3,F
T203352,0017D13DCF,17D13DCF,GT,19/12/2012,4,M
T203354,0017D1564F,17D1564F,BT,15/02/2013,5,
T203355,0017D12B40,17D12B40,BT,15/02/2013,5,
T203356,0017D169F8,17D169F8,BT,15/02/2013,6,
T203357,0017D14918,17D14918,GT,15/02/2013,5,M
T203358,0017D14B80,17D14B80,BT,15/02/2013,6,
T203359,0017D17A3F,17D17A3F,BT,15/02/2013,5,
T203360,0017D1433F,17D1433F,BT,15/02/2013,6,
T203361,0017D12848,17D12848,BT,15/02/2013,6,
T203362,0017D143BA,17D143BA,BT,15/02/2013,6,
T203363,0017D1634A,17D1634A,BT,15/02/2013,5,
T203364,0017D13455,17D13455,BT,15/02/2013,6,
T203365,0017D13A7E,17D13A7E,BT,15/02/2013,5,
T203366,0017D1440A,17D1440A,BT,15/02/2013,6,
T203367,0017D16321,17D16321,BT,15/02/2013,5,
T203368,0017D17BE8,17D17BE8,BT,15/02/2013,5,
T203369,0017D1336E,17D1336E,BT,15/02/2013,5,
T203370,04185C286D,185C286D,GT,15/02/2013,6,F
T203372,0017D16CF7,17D16CF7,GT,15/02/2013,5,F
T203373,0017D1322A,17D1322A,BT,15/02/2013,6,
T203374,0017D1491D,17D1491D,BT,15/02/2013,5,
T203375,04185C5674,185C5674,GT,15/02/2013,6,F
T203376,0017D149CF,17D149CF,BT,15/02/2013,6,
T203377,0017D14C73,17D14C73,BT,15/02/2013,6,
T203378,0017D129ED,17D129ED,BT,15/02/2013,6,
T203379,0017D15CDB,17D15CDB,BT,15/02/2013,6,
T203380,0017D12890,17D12890,GT,15/02/2013,6,M
T203381,0017D15E15,17D15E15,GT,15/02/2013,6,M
T203382,0017BDA06C,17BDA06C,GT,15/02/2013,5,F
