"Date"	"Hmsec"	"CounterID"	"RFID"	"BtwVisitInterval"	"WtnVisitInterval"
2019-05-01 10:12:11	" 960 "	"c1254 "	"0300030EFF"	0	0
2019-05-01 10:12:16	" 186 "	"c1254 "	"0300030EFF"	5	5
2019-05-01 13:18:11	" 605 "	"c1254 "	"0300030EFF"	72	11155
2019-05-01 10:18:32	" 142 "	"c1254 "	"041815A047"	376	0
2019-05-01 10:18:34	" 723 "	"c1254 "	"041815A047"	2	2
2019-05-01 10:19:20	" 675 "	"c1254 "	"041815A047"	46	46
2019-05-01 10:19:35	" 418 "	"c1254 "	"041815A047"	15	15
2019-05-01 10:24:02	" 568 "	"c1254 "	"041815A047"	23	267
2019-05-01 10:25:49	" 498 "	"c1254 "	"041815A047"	107	107
2019-05-01 10:26:47	" 845 "	"c1254 "	"041815A047"	26	58
2019-05-01 10:28:27	" 419 "	"c1254 "	"041815A047"	100	100
2019-05-01 10:29:04	" 725 "	"c1254 "	"041815A047"	20	37
2019-05-01 10:29:20	" 414 "	"c1254 "	"041815A047"	16	16
2019-05-01 10:29:34	" 209 "	"c1254 "	"041815A047"	8	14
2019-05-01 10:29:46	" 340 "	"c1254 "	"041815A047"	8	12
2019-05-01 10:31:28	" 759 "	"c1254 "	"041815A047"	50	102
2019-05-01 10:31:39	" 707 "	"c1254 "	"041815A047"	11	11
2019-05-01 10:32:35	" 887 "	"c1254 "	"041815A047"	15	56
2019-05-01 10:32:47	" 356 "	"c1254 "	"041815A047"	10	12
2019-05-01 10:34:14	"1104 "	"c1254 "	"041815A047"	87	87
2019-05-01 10:34:25	" 204 "	"c1254 "	"041815A047"	11	11
2019-05-01 10:37:10	" 430 "	"c1254 "	"041815A047"	165	165
2019-05-01 10:37:21	" 346 "	"c1254 "	"041815A047"	11	11
2019-05-01 10:38:01	" 585 "	"c1254 "	"041815A047"	40	40
2019-05-01 10:38:09	"  76 "	"c1254 "	"041815A047"	8	8
2019-05-01 10:39:44	" 123 "	"c1254 "	"041815A047"	21	95
2019-05-01 10:42:28	"1054 "	"c1254 "	"041815A047"	164	164
2019-05-01 10:42:54	" 853 "	"c1254 "	"041815A047"	14	26
2019-05-01 10:44:04	" 972 "	"c1254 "	"041815A047"	31	70
2019-05-01 10:44:57	"  42 "	"c1254 "	"041815A047"	53	53
2019-05-01 10:45:42	" 788 "	"c1254 "	"041815A047"	45	45
2019-05-01 10:47:18	"1050 "	"c1254 "	"041815A047"	77	96
2019-05-01 10:48:13	" 315 "	"c1254 "	"041815A047"	55	55
2019-05-01 10:50:02	" 179 "	"c1254 "	"041815A047"	95	109
