F 	Date            	Hmsec 	ID   	Event 	State 	Rule 	IDHere 	ListAHere 	ListBHere 	ListEHere  	IDThere
D 	2022-01-25 09:27:22	  16 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:24	  24 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:26	  23 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:28	  25 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:30	  24 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:32	  23 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	3F92  
D 	2022-01-25 09:27:34	  25 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:36	  23 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:38	  23 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:40	  24 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:42	  22 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:44	  24 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:44	 975 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:46	  22 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:49	 556 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:50	  32 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:52	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:54	  32 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	3F91  
D 	2022-01-25 09:27:56	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:27:58	  31 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:00	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:02	  34 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:04	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:06	  34 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:08	  31 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:10	  34 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:12	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:14	  34 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:16	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:18	  34 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:20	  34 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:22	  33 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:24	  33 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:26	  33 	c1931 	15519 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:28	  35 	c1931 	15519 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:28:29	1009 	c1931 	15520 	c 	23 	0000 	0 	0 	0  	3F4A  
D 	2022-01-25 09:28:30	  34 	c1931 	15520 	o 	23 	0000 	0 	0 	0  	3F60  
D 	2022-01-25 09:28:32	  33 	c1931 	15520 	c 	23 	0000 	0 	0 	0  	18D8  
