F 	Date            	Hmsec 	ID   	Event 

List 	First 	Count  	ArrayCount 	TraverseCount 
0 	0x6728	195 	195 	195 
1 	0x0000	0 	0 	0 
2 	0x45c2	1 	1 	1 
3 	0x45f4	1 	1 	1 
4 	0x0000	0 	0 	0 
5 	0x0000	0 	0 	0 
6 	0x0000	0 	0 	0 
7 	0x0000	0 	0 	0 
8 	0x0000	0 	0 	0 
9 	0x6660	5 	5 	5 
10 	0x0000	0 	0 	0 
11 	0x0000	0 	0 	0 
12 	0x0000	0 	0 	0 
13 	0x4b6c	5 	5 	5 
14 	0x0000	0 	0 	0 
15 	0x756a	1 	1 	1 
16 	0x7600	1 	1 	1 
17 	0x7218	1 	1 	1 
18 	0x0000	0 	0 	0 
19 	0x47b6	17 	17 	17 
20 	0x0000	0 	0 	0 
21 	0x0000	0 	0 	0 
22 	0x0000	0 	0 	0 
23 	0x0000	0 	0 	0 
24 	0x4ebe	16 	16 	16 
25 	0x0000	0 	0 	0 
26 	0x54cc	17 	17 	17 
27 	0x0000	0 	0 	0 
T 	2022-02-07 10:26:33	 746 	c1931 	15665 
S

List 	First 	Count  	ArrayCount 	TraverseCount 
0 	0x5562	74 	74 	74 
1 	0x0000	0 	0 	0 
2 	0x45c2	1 	1 	1 
3 	0x45f4	1 	1 	1 
4 	0x0000	0 	0 	0 
5 	0x0000	0 	0 	0 
6 	0x0000	0 	0 	0 
7 	0x5e2c	9 	9 	9 
8 	0x0000	0 	0 	0 
9 	0x5fee	21 	21 	21 
10 	0x0000	0 	0 	0 
11 	0x0000	0 	0 	0 
12 	0x5ba2	43 	43 	43 
13 	0x6566	56 	56 	56 
14 	0x4a0e	10 	10 	10 
15 	0x756a	1 	1 	1 
16 	0x7600	1 	1 	1 
17 	0x7218	1 	1 	1 
18 	0x0000	0 	0 	0 
19 	0x47b6	17 	17 	17 
20 	0x5274	1 	1 	1 
21 	0x0000	0 	0 	0 
22 	0x0000	0 	0 	0 
23 	0x0000	0 	0 	0 
24 	0x6728	6 	6 	6 
25 	0x0000	0 	0 	0 
26 	0x54cc	17 	17 	17 
27 	0x6e62	1 	1 	1 
T 	2022-02-07 10:47:04	 915 	c1931 	15674 
S

List 	First 	Count  	ArrayCount 	TraverseCount 
