F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:29:40	 583 	c1937 	 2835 	u   	d    	244989 	  706
D 	2022-02-07 10:29:40	 631 	c1937 	 2835 	u   	d    	244989 	  706
D 	2022-02-07 10:29:40	 681 	c1937 	 2835 	u   	d    	244989 	  706
D 	2022-02-07 10:29:40	 731 	c1937 	 2835 	u   	d    	244989 	  706
D 	2022-02-07 10:29:41	 659 	c1937 	 2835 	d   	u    	244986 	    0
D 	2022-02-07 10:29:55	 410 	c1937 	 2836 	u   	d    	382501 	  325
D 	2022-02-07 10:29:55	 458 	c1937 	 2836 	u   	d    	382501 	  325
D 	2022-02-07 10:29:56	 136 	c1937 	 2836 	d   	u    	254865 	   23
D 	2022-02-07 10:32:59	 212 	c1937 	 2837 	u   	d    	251631 	  614
D 	2022-02-07 10:32:59	 261 	c1937 	 2837 	u   	d    	251631 	  614
D 	2022-02-07 10:32:59	 311 	c1937 	 2837 	u   	d    	251631 	  614
D 	2022-02-07 10:32:59	 361 	c1937 	 2837 	u   	d    	251631 	  614
D 	2022-02-07 10:33:00	 184 	c1937 	 2837 	d   	u    	251730 	    0
D 	2022-02-07 10:33:25	 163 	c1937 	 2838 	u   	d    	252157 	  615
D 	2022-02-07 10:33:25	 212 	c1937 	 2838 	u   	d    	252157 	  615
D 	2022-02-07 10:33:25	 262 	c1937 	 2838 	u   	d    	252157 	  615
D 	2022-02-07 10:33:25	 312 	c1937 	 2838 	u   	d    	252157 	  615
D 	2022-02-07 10:33:26	 234 	c1937 	 2838 	d   	u    	252170 	    0
D 	2022-02-07 10:34:55	 855 	c1937 	 2839 	u   	d    	301542 	  122
D 	2022-02-07 10:34:55	 903 	c1937 	 2839 	u   	d    	301542 	  122
D 	2022-02-07 10:34:55	 953 	c1937 	 2839 	u   	d    	301542 	  122
D 	2022-02-07 10:34:55	1003 	c1937 	 2839 	u   	d    	301542 	  122
D 	2022-02-07 10:34:56	 131 	c1937 	 2839 	d   	u    	252093 	    1
D 	2022-02-07 10:35:18	 680 	c1937 	 2840 	u   	d    	332797 	  197
D 	2022-02-07 10:35:18	 729 	c1937 	 2840 	u   	d    	332797 	  197
D 	2022-02-07 10:35:18	 779 	c1937 	 2840 	u   	d    	332797 	  197
D 	2022-02-07 10:35:18	 829 	c1937 	 2840 	u   	d    	332797 	  197
D 	2022-02-07 10:35:20	 382 	c1937 	 2840 	d   	u    	209790 	 -107
D 	2022-02-07 10:35:20	 582 	c1937 	 2841 	u   	d    	329041 	  187
D 	2022-02-07 10:35:20	 631 	c1937 	 2841 	u   	d    	329041 	  187
D 	2022-02-07 10:35:20	 681 	c1937 	 2841 	u   	d    	329041 	  187
D 	2022-02-07 10:35:20	 731 	c1937 	 2841 	u   	d    	329041 	  187
D 	2022-02-07 10:35:24	 286 	c1937 	 2841 	d   	u    	243081 	  -24
D 	2022-02-07 10:35:24	 486 	c1937 	 2842 	u   	d    	381022 	  316
D 	2022-02-07 10:35:24	 535 	c1937 	 2842 	u   	d    	381022 	  316
D 	2022-02-07 10:35:24	 585 	c1937 	 2842 	u   	d    	381022 	  316
D 	2022-02-07 10:35:24	 635 	c1937 	 2842 	u   	d    	381022 	  316
D 	2022-02-07 10:35:25	  15 	c1937 	 2842 	d   	u    	209418 	 -107
D 	2022-02-07 10:35:25	 546 	c1937 	 2843 	u   	d    	333943 	  199
D 	2022-02-07 10:35:25	 595 	c1937 	 2843 	u   	d    	333943 	  199
D 	2022-02-07 10:35:25	 645 	c1937 	 2843 	u   	d    	333943 	  199
D 	2022-02-07 10:35:25	 695 	c1937 	 2843 	u   	d    	333943 	  199
D 	2022-02-07 10:35:26	 413 	c1937 	 2843 	d   	u    	237853 	  -37
D 	2022-02-07 10:35:26	 908 	c1937 	 2844 	u   	d    	385231 	  326
D 	2022-02-07 10:35:26	 956 	c1937 	 2844 	u   	d    	385231 	  326
D 	2022-02-07 10:35:26	1006 	c1937 	 2844 	u   	d    	385231 	  326
D 	2022-02-07 10:35:27	  32 	c1937 	 2844 	u   	d    	385231 	  326
T 	2022-02-07 10:35:27	 541 	c1937 	 2844 
S
D 	2022-02-07 10:35:27	 846 	c1937 	 2844 	d   	u    	195804 	 -141
D 	2022-02-07 10:35:28	  12 	c1937 	 2845 	u   	d    	437752 	  456
D 	2022-02-07 10:35:28	  61 	c1937 	 2845 	u   	d    	437752 	  456
D 	2022-02-07 10:35:28	 111 	c1937 	 2845 	u   	d    	437752 	  456
D 	2022-02-07 10:35:28	 161 	c1937 	 2845 	u   	d    	437752 	  456
D 	2022-02-07 10:35:28	 910 	c1937 	 2845 	d   	u    	229835 	  -57
D 	2022-02-07 10:35:29	  56 	c1937 	 2846 	u   	d    	300531 	  117
D 	2022-02-07 10:35:29	 105 	c1937 	 2846 	u   	d    	300531 	  117
D 	2022-02-07 10:35:29	 155 	c1937 	 2846 	u   	d    	300531 	  117
D 	2022-02-07 10:35:29	 205 	c1937 	 2846 	u   	d    	300531 	  117
D 	2022-02-07 10:35:29	 380 	c1937 	 2846 	d   	u    	213750 	  -97
D 	2022-02-07 10:35:29	 857 	c1937 	 2847 	u   	d    	305392 	  129
D 	2022-02-07 10:35:29	 906 	c1937 	 2847 	u   	d    	305392 	  129
D 	2022-02-07 10:35:29	 956 	c1937 	 2847 	u   	d    	305392 	  129
D 	2022-02-07 10:35:29	1006 	c1937 	 2847 	u   	d    	305392 	  129
D 	2022-02-07 10:35:30	  33 	c1937 	 2847 	d   	u    	175891 	 -190
D 	2022-02-07 10:35:30	 284 	c1937 	 2848 	u   	d    	426782 	  429
D 	2022-02-07 10:35:30	 332 	c1937 	 2848 	u   	d    	426782 	  429
D 	2022-02-07 10:35:30	 382 	c1937 	 2848 	u   	d    	426782 	  429
D 	2022-02-07 10:35:30	 432 	c1937 	 2848 	u   	d    	426782 	  429
D 	2022-02-07 10:35:31	 159 	c1937 	 2848 	d   	u    	255616 	    6
D 	2022-02-07 10:35:31	 459 	c1937 	 2849 	u   	d    	309179 	  138
D 	2022-02-07 10:35:31	 508 	c1937 	 2849 	u   	d    	309179 	  138
D 	2022-02-07 10:35:31	 558 	c1937 	 2849 	u   	d    	309179 	  138
D 	2022-02-07 10:35:31	 608 	c1937 	 2849 	u   	d    	309179 	  138
D 	2022-02-07 10:35:31	 859 	c1937 	 2849 	d   	u    	218126 	  -86
D 	2022-02-07 10:35:31	 959 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:31	1008 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	  34 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	  84 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	 285 	c1937 	 2850 	d   	u    	198594 	 -134
D 	2022-02-07 10:35:32	 486 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 534 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 584 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 634 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:33	 361 	c1937 	 2851 	d   	u    	229154 	  -59
D 	2022-02-07 10:35:33	 556 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 605 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 655 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 705 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 856 	c1937 	 2852 	d   	u    	221330 	  -78
D 	2022-02-07 10:35:34	  32 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	  81 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 131 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 181 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 382 	c1937 	 2853 	d   	u    	197105 	 -138
D 	2022-02-07 10:35:34	 682 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 731 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 781 	c1937 	 2854 	u   	d    	335178 	  202
