"F"	"Date"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"Mfr"	"TagID"	"feeder"
"D "	"2022-02-04 09:16:45"	196	"c1935 "	82	0	114855	61559	126720	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:17:11"	896	"c1935 "	83	0	106855	0	125184	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:17:11"	648	"c1935 "	83	0	114855	27	126208	156	1	1	"0300024FEF"	NA	NA	"F01"
"D "	"2022-02-04 09:17:12"	650	"c1935 "	83	0	106855	37	126208	843	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:18:30"	270	"c1935 "	84	0	2	62210	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:20:09"	667	"c1935 "	85	0	119946	17899	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:20:48"	847	"c1935 "	86	0	121943	43148	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:41"	197	"c1935 "	87	0	68103	15	126208	334	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:43"	423	"c1935 "	88	0	9378	30816	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:44"	895	"c1935 "	89	0	2405	51	125952	444	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:45"	1021	"c1935 "	90	0	3813	18492	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	447	"c1935 "	91	0	3362	18496	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	747	"c1935 "	92	0	15886	18501	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	73	"c1935 "	93	0	4767	18514	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:47"	296	"c1935 "	94	0	2007	30872	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:48"	847	"c1935 "	95	0	57567	49364	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:48"	569	"c1935 "	96	0	0	2937	126208	759	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:49"	870	"c1935 "	97	0	0	18528	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:50"	519	"c1935 "	98	0	107285	1083	126464	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:51"	970	"c1935 "	99	0	105573	7	126208	296	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:52"	297	"c1935 "	100	0	2348	94725	126208	640	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:54"	582	"c1935 "	101	0	107285	480	125952	961	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:55"	225	"c1935 "	102	0	106527	39	125952	725	1	0	""	NA	NA	"F01"
"T "	"2022-02-04 09:21:56"	376	"c1935 "	102	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:56"	715	"c1935 "	103	0	44301	29	125952	314	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:56"	980	"c1935 "	104	0	44303	797	126464	293	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	332	"c1935 "	105	0	98767	793	126208	159	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	902	"c1935 "	106	0	100013	796	126464	288	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	257	"c1935 "	107	0	107285	513	125952	241	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:58"	918	"c1935 "	108	0	14645	7	126464	584	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:59"	336	"c1935 "	109	0	111943	809	126464	160	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:00"	550	"c1935 "	110	0	2006	459	126208	228	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:02"	245	"c1935 "	111	0	107285	35	125952	310	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:06"	346	"c1935 "	112	0	129014	125174	126464	2110	7	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:12"	172	"c1935 "	113	0	2	32	125952	798	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:13"	322	"c1935 "	114	0	3362	74636	126208	899	5	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:17"	818	"c1935 "	115	0	107285	20385	126208	3	1	0	""	NA	NA	"F01"
