"F"	"Date"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"Mfr"	"TagID"	"feeder"	"date"	"time"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"
"D "	"2022-02-04 10:01:13"	467	"c1935 "	146	0	0	32	126464	264	2	1	"01103FC949"	NA	NA	"F01"	"09/01/2021"	"11:03"	"R"	"AKL0680"	"BT"	"R"	"5"	"M"	64	11.7
"D "	"2022-02-04 11:06:32"	770	"c1935 "	147	0	6	39	126208	426	3	1	"01103F7DB1"	NA	NA	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
"D "	"2022-02-04 11:17:36"	871	"c1935 "	148	0	105573	51	126464	1168	5	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:17:40"	123	"c1935 "	148	0	121015	27	126208	174	1	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:17:41"	946	"c1935 "	148	0	121015	27	126208	566	1	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:17:43"	794	"c1935 "	148	0	119945	35	125952	272	2	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:18:03"	43	"c1935 "	149	0	111944	52	126208	946	5	1	"01103FE3B3"	NA	NA	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	"3"	"F"	72	18.1
"D "	"2022-02-04 11:19:41"	143	"c1935 "	150	0	117945	28	126464	130	1	1	"01103FE3B3"	NA	NA	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	"3"	"F"	72	18.1
"D "	"2022-02-04 11:19:42"	322	"c1935 "	150	0	117947	52	125952	947	5	1	"01103FE3B3"	NA	NA	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	"3"	"F"	72	18.1
"D "	"2022-02-04 11:50:33"	42	"c1935 "	151	0	120997	38	126464	408	3	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:50:36"	518	"c1935 "	151	0	59711	26	126464	174	1	1	"01103F3BED"	NA	NA	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	"3"	"M"	75	18.5
"D "	"2022-02-04 11:50:47"	221	"c1935 "	152	0	8005	33	125952	1032	2	1	"01103FE3B3"	NA	NA	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	"3"	"F"	72	18.1
"D "	"2022-02-04 11:50:49"	22	"c1935 "	152	0	59711	39	125440	586	3	1	"01103FE3B3"	NA	NA	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	"3"	"F"	72	18.1
"D "	"2022-02-04 11:52:31"	97	"c1935 "	153	0	2005	28	126208	140	1	1	"01103F49F0"	NA	NA	"F01"	"03/10/2021"	"11:49"	"R"	"AAJ5755"	"GT"	"R"	"4"	"M"	77	18.3
"D "	"2022-02-04 11:57:39"	797	"c1935 "	154	0	100878	34	126464	442	2	1	"01103F9ECD"	NA	NA	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	"4"	""	64	10.7
"D "	"2022-02-04 13:41:50"	619	"c1935 "	156	0	114877	33	126208	268	2	1	"01103F9ECD"	NA	NA	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	"4"	""	64	10.7
"D "	"2022-02-05 09:14:36"	994	"c1935 "	157	0	68629	27	126208	134	1	1	"01103FA9CB"	NA	NA	"F01"	"19/09/2021"	"09:45"	"N"	"AAJ5896"	"BT"	"N"	"3"	""	62	9.9
"D "	"2022-02-05 10:02:39"	543	"c1935 "	158	0	126996	32	126208	605	2	1	"01103F6817"	NA	NA	"F01"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	"4"	"M"	78	18.9
"D "	"2022-02-05 10:17:38"	993	"c1935 "	159	0	111945	39	126208	426	3	1	"01103F7DB1"	NA	NA	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
"D "	"2022-02-05 10:28:34"	246	"c1935 "	160	0	89809	33	126464	480	2	1	"01103FBA74"	NA	NA	"F01"	"02/01/2023"	"09:36"	"R"	"AJT8158"	"GT"	"R"	"6"	"F"	73	17.3
"D "	"2022-02-05 10:28:37"	372	"c1935 "	160	0	89809	34	125440	441	2	1	"01103FBA74"	NA	NA	"F01"	"02/01/2023"	"09:36"	"R"	"AJT8158"	"GT"	"R"	"6"	"F"	73	17.3
"D "	"2022-02-05 10:28:39"	70	"c1935 "	160	0	2705	64	125696	972	7	1	"01103FBA74"	NA	NA	"F01"	"02/01/2023"	"09:36"	"R"	"AJT8158"	"GT"	"R"	"6"	"F"	73	17.3
"D "	"2022-02-05 11:41:41"	470	"c1935 "	161	0	128997	38	126464	532	3	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-05 11:41:44"	422	"c1935 "	161	0	126997	27	126464	228	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-05 11:41:46"	465	"c1935 "	161	0	5	27	126208	140	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-05 11:41:47"	91	"c1935 "	161	0	109925	27	125952	140	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-05 12:46:02"	219	"c1935 "	162	0	106854	51	126208	644	5	1	"01103FC958"	NA	NA	"F01"	"15/01/2021"	"12:20"	"R"	"AAJ5701"	"BT"	"R"	"6"	"F"	64	10.2
"D "	"2022-02-05 12:46:06"	616	"c1935 "	162	0	83782	33	126208	275	2	1	"01103FC958"	NA	NA	"F01"	"15/01/2021"	"12:20"	"R"	"AAJ5701"	"BT"	"R"	"6"	"F"	64	10.2
"D "	"2022-02-05 12:46:09"	666	"c1935 "	162	0	4007	45	126208	662	4	1	"01103FC958"	NA	NA	"F01"	"15/01/2021"	"12:20"	"R"	"AAJ5701"	"BT"	"R"	"6"	"F"	64	10.2
"D "	"2022-02-06 10:34:33"	616	"c1935 "	164	0	113925	44	126208	544	4	1	"01103FDF3E"	NA	NA	"F01"	"17/01/2021"	"09:28"	"R"	"Y584298"	"GT"	"R"	"6"	"M"	77	18.6
"D "	"2022-02-06 10:34:35"	891	"c1935 "	165	0	119925	27	126464	140	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-06 10:34:37"	319	"c1935 "	165	0	59711	39	126208	676	3	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-06 10:34:40"	116	"c1935 "	165	0	59711	27	126208	603	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-06 10:34:41"	817	"c1935 "	165	0	59701	27	125440	160	1	1	"01103FE02C"	NA	NA	"F01"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	"4"	"M"	76	18.9
"D "	"2022-02-06 10:44:09"	438	"c1935 "	167	0	101285	40	126208	506	3	1	"01103FE66A"	NA	NA	"F01"	"03/10/2021"	"11:47"	"R"	"AKL0888"	"GT"	"R"	"4"	"F"	73	17
"D "	"2022-02-06 10:44:12"	792	"c1935 "	167	0	117945	28	126208	134	1	1	"01103FE66A"	NA	NA	"F01"	"03/10/2021"	"11:47"	"R"	"AKL0888"	"GT"	"R"	"4"	"F"	73	17
"D "	"2022-02-06 11:33:18"	271	"c1935 "	170	0	91809	50	126208	650	5	1	"01103FE42F"	NA	NA	"F01"	"17/10/2021"	"11:32"	"R"	"AKL0789"	"GT"	"R"	"4"	"M"	79	20.1
"D "	"2022-02-06 11:33:22"	194	"c1935 "	170	0	91810	39	126208	1280	3	1	"01103FE42F"	NA	NA	"F01"	"17/10/2021"	"11:32"	"R"	"AKL0789"	"GT"	"R"	"4"	"M"	79	20.1
"D "	"2022-02-06 11:33:34"	617	"c1935 "	171	0	59701	27	126208	132	1	1	"01103FE16A"	NA	NA	"F01"	"11/10/2020"	"11:33"	"R"	"ABL3895"	"GT"	"R"	"4"	"F"	75	17.6
"D "	"2022-02-06 11:33:36"	695	"c1935 "	171	0	68629	40	126208	526	3	1	"01103FE16A"	NA	NA	"F01"	"11/10/2020"	"11:33"	"R"	"ABL3895"	"GT"	"R"	"4"	"F"	75	17.6
"D "	"2022-02-06 11:33:44"	71	"c1935 "	172	0	2751	40	126208	830	3	1	"01103F9ECD"	NA	NA	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	"4"	""	64	10.7
"D "	"2022-02-06 11:47:05"	441	"c1935 "	173	0	127924	38	126464	558	3	1	"01103F9C82"	NA	NA	"F01"	"06/01/2021"	"12:36"	"R"	"AKL0699"	"BT"	"R"	"5"	"F"	63	10.7
"D "	"2022-02-06 11:48:20"	146	"c1935 "	174	0	59700	57	126208	828	6	1	"01103FD2FF"	NA	NA	"F01"	"19/09/2021"	"09:45"	"R"	"AAJ5784"	"BT"	"A"	"3"	""	64	10.4
"D "	"2022-02-06 11:48:26"	346	"c1935 "	175	0	59711	33	126208	268	2	1	"01103F9ECD"	NA	NA	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	"4"	""	64	10.7
"D "	"2022-02-06 11:49:45"	970	"c1935 "	177	0	0	76	126208	1758	9	1	"01103FD2FF"	NA	NA	"F01"	"19/09/2021"	"09:45"	"R"	"AAJ5784"	"BT"	"A"	"3"	""	64	10.4
"D "	"2022-02-06 11:50:14"	320	"c1935 "	178	0	105573	76	125952	1319	9	1	"01103FE111"	NA	NA	"F01"	"10/10/2021"	"12:16"	"R"	"AJT8156"	"GT"	"R"	"3"	"M"	74	17.7
"D "	"2022-02-06 11:52:41"	641	"c1935 "	180	0	100877	34	126464	402	2	1	"01103F7DB1"	NA	NA	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
"D "	"2022-02-06 11:52:43"	170	"c1935 "	180	0	85809	47	126464	714	4	1	"01103F7DB1"	NA	NA	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
"D "	"2022-02-06 11:58:59"	143	"c1935 "	182	0	4388	48	126208	514	4	1	"3B0018D8D2"	NA	NA	"F01"	"29/09/2022"	"09:40"	"R"	"AAJ5785"	"BT"	"R"	"4"	""	64	10.6
"D "	"2022-02-06 11:59:02"	819	"c1935 "	182	0	4388	29	126208	327	1	1	"3B0018D8D2"	NA	NA	"F01"	"29/09/2022"	"09:40"	"R"	"AAJ5785"	"BT"	"R"	"4"	""	64	10.6
"D "	"2022-02-06 11:59:04"	721	"c1935 "	182	0	2849	29	126208	170	1	1	"3B0018D8D2"	NA	NA	"F01"	"29/09/2022"	"09:40"	"R"	"AAJ5785"	"BT"	"R"	"4"	""	64	10.6
"D "	"2022-02-06 11:59:06"	748	"c1935 "	182	0	59711	30	126208	160	1	1	"3B0018D8D2"	NA	NA	"F01"	"29/09/2022"	"09:40"	"R"	"AAJ5785"	"BT"	"R"	"4"	""	64	10.6
"D "	"2022-02-06 12:03:23"	542	"c1935 "	183	0	127924	30	125440	132	1	1	"01103F4AD8"	NA	NA	"F01"	"19/01/2020"	"10:44"	"R"	"Z066593"	"BT"	"R"	"6"	""	66	10.6
"D "	"2022-02-06 12:03:24"	743	"c1935 "	183	0	59699	61	125696	996	6	1	"01103F4AD8"	NA	NA	"F01"	"19/01/2020"	"10:44"	"R"	"Z066593"	"BT"	"R"	"6"	""	66	10.6
"D "	"2022-02-06 12:08:40"	47	"c1935 "	184	0	68099	63	126720	1028	7	1	"01103FC974"	NA	NA	"F01"	"07/11/2021"	"10:47"	"R"	"AJT8146"	"GT"	"R"	"3"	"F"	74	17.4
"D "	"2022-02-06 12:15:26"	821	"c1935 "	186	0	3	27	126464	136	1	1	"01103F6817"	NA	NA	"F01"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	"4"	"M"	78	18.9
"D "	"2022-02-06 12:15:28"	397	"c1935 "	186	0	0	27	125696	136	1	1	"01103F6817"	NA	NA	"F01"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	"4"	"M"	78	18.9
"D "	"2022-02-06 12:17:22"	719	"c1935 "	187	0	101285	28	126464	134	1	1	"3B00193C3E"	NA	NA	"F01"	"03/10/2021"	"14:12"	"R"	"AJT8103"	"BT"	"A"	"3"	""	64	10.2
"D "	"2022-02-06 12:17:23"	646	"c1935 "	187	0	95809	28	126464	168	1	1	"3B00193C3E"	NA	NA	"F01"	"03/10/2021"	"14:12"	"R"	"AJT8103"	"BT"	"A"	"3"	""	64	10.2
"D "	"2022-02-06 12:17:26"	824	"c1935 "	188	0	104878	34	126208	358	2	1	"01103FD3AC"	NA	NA	"F01"	"28/10/2020"	"10:37"	"R"	"AKL0669"	"BT"	"R"	"3"	""	64	10.5
"D "	"2022-02-06 12:27:02"	168	"c1935 "	189	0	2849	72	126208	1135	8	1	"01103FB7C4"	NA	NA	"F01"	"03/10/2021"	"09:00"	"N"	"AJT8133"	"BT"	"N"	"3"	""	61	9.1
"D "	"2022-02-06 12:27:07"	394	"c1935 "	189	0	59711	29	126208	142	1	1	"01103FB7C4"	NA	NA	"F01"	"03/10/2021"	"09:00"	"N"	"AJT8133"	"BT"	"N"	"3"	""	61	9.1
"D "	"2022-02-06 12:27:08"	270	"c1935 "	189	0	3906	29	126208	142	1	1	"01103FB7C4"	NA	NA	"F01"	"03/10/2021"	"09:00"	"N"	"AJT8133"	"BT"	"N"	"3"	""	61	9.1
"D "	"2022-02-06 12:34:21"	77	"c1935 "	193	0	91779	57	125952	1088	6	1	"01103F8B45"	NA	NA	"F01"	"09/01/2021"	"09:04"	"R"	"Y584402"	"BT"	"R"	"6"	"F"	62	10.8
"D "	"2022-02-06 12:34:32"	98	"c1935 "	194	0	59711	32	125952	416	2	1	"3B001866DD"	NA	NA	"F01"	"20/09/2022"	"13:22"	"R"	"AJT8109"	"BT"	"R"	"4"	""	61	10.9
"D "	"2022-02-06 12:34:34"	199	"c1935 "	194	0	59699	33	126208	543	2	1	"3B001866DD"	NA	NA	"F01"	"20/09/2022"	"13:22"	"R"	"AJT8109"	"BT"	"R"	"4"	""	61	10.9
"D "	"2022-02-06 12:34:36"	450	"c1935 "	194	0	0	45	126464	1435	4	1	"3B001866DD"	NA	NA	"F01"	"20/09/2022"	"13:22"	"R"	"AJT8109"	"BT"	"R"	"4"	""	61	10.9
"D "	"2022-02-06 12:34:40"	296	"c1935 "	194	0	0	33	126208	494	2	1	"3B001866DD"	NA	NA	"F01"	"20/09/2022"	"13:22"	"R"	"AJT8109"	"BT"	"R"	"4"	""	61	10.9
"D "	"2022-02-06 12:43:07"	1023	"c1935 "	195	0	106878	28	125184	134	1	1	"01103FE6E1"	NA	NA	"F01"	"09/11/2021"	"10:38"	"N"	"AJT8216"	"GT"	"N"	"3"	"F"	73	19.2
"D "	"2022-02-06 12:43:13"	52	"c1935 "	196	0	106876	41	125696	718	3	1	"01103FDF3E"	NA	NA	"F01"	"17/01/2021"	"09:28"	"R"	"Y584298"	"GT"	"R"	"6"	"M"	77	18.6
"D "	"2022-02-06 12:43:20"	425	"c1935 "	197	0	59699	28	126208	158	1	1	"01103FCA03"	NA	NA	"F01"	"29/09/2022"	"13:15"	"R"	"AKL0766"	"BT"	"R"	"4"	""	62	11
"D "	"2022-02-06 12:43:21"	974	"c1935 "	197	0	68629	41	125952	1189	3	1	"01103FCA03"	NA	NA	"F01"	"29/09/2022"	"13:15"	"R"	"AKL0766"	"BT"	"R"	"4"	""	62	11
"D "	"2022-02-06 12:43:24"	78	"c1935 "	197	0	100877	54	126208	716	5	1	"01103FCA03"	NA	NA	"F01"	"29/09/2022"	"13:15"	"R"	"AKL0766"	"BT"	"R"	"4"	""	62	11
"D "	"2022-02-06 14:18:00"	328	"c1935 "	199	0	119945	32	126464	272	2	1	"01103FD2FF"	NA	NA	"F01"	"19/09/2021"	"09:45"	"R"	"AAJ5784"	"BT"	"A"	"3"	""	64	10.4
"D "	"2022-02-06 14:20:50"	849	"c1935 "	200	0	59711	45	126208	528	4	1	"01103FD851"	NA	NA	"F01"	"09/11/2021"	"10:31"	"R"	"AJT8117"	"GT"	"R"	"3"	"M"	77	18.8
"D "	"2022-02-06 14:24:50"	401	"c1935 "	201	0	3	33	126208	266	2	1	"01103FAD65"	NA	NA	"F01"	"28/10/2020"	"12:30"	"R"	"AKL0830"	"BT"	"R"	"3"	""	64	10.9
"D "	"2022-02-04 11:06:19"	516	"c1931 "	15597	0	127943	26	0	442	1	1	"01103F7DB1"	NA	NA	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
"D "	"2022-02-04 11:06:20"	343	"c1931 "	15597	0	127943	27	124672	141	1	1	"01103F7DB1"	NA	NA	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	"3"	"F"	73	16.3
