"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-04	2022-02-04 10:01:13	467	"c1935 "	146	0	0	32	126464	264	2	1	"01103FC949"	"F01"	"09/01/2021"	"11:03"	"R"	"AKL0680"	"BT"	"R"	5	"M"	64	11.7	"firstVisit"
2022-02-04	2022-02-04 11:06:19	516	"c1931 "	15597	0	127943	26	0	442	1	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"firstVisit"
2022-02-04	2022-02-04 11:06:32	770	"c1935 "	147	0	6	39	126208	426	3	1	"01103F7DB1"	"F01"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"firstVisit"
2022-02-04	2022-02-04 11:17:36	871	"c1935 "	148	0	105573	51	126464	1168	5	1	"01103F3BED"	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"firstVisit"
2022-02-04	2022-02-04 11:17:40	123	"c1935 "	148	0	121015	27	126208	174	1	1	"01103F3BED"	"F01"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 11:17:48	543	"c1931 "	15598	0	0	39	0	388	3	1	"01103FE3B3"	"F02"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"firstVisit"
2022-02-04	2022-02-04 11:17:52	528	"c1931 "	15598	0	130787	39	0	388	3	1	"01103FE3B3"	"F02"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"4"
2022-02-04	2022-02-04 11:17:56	895	"c1931 "	15598	0	129673	33	123904	298	2	1	"01103FE3B3"	"F02"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"4"
2022-02-04	2022-02-04 11:18:03	43	"c1935 "	149	0	111944	52	126208	946	5	1	"01103FE3B3"	"F01"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"firstVisit"
2022-02-04	2022-02-04 11:18:05	521	"c1931 "	15599	0	1329	28	0	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"firstVisit"
2022-02-04	2022-02-04 11:18:09	942	"c1931 "	15599	0	124607	27	124416	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"3"
2022-02-04	2022-02-04 11:18:16	594	"c1931 "	15599	0	131066	28	123904	224	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-04	2022-02-04 11:18:20	514	"c1931 "	15599	0	124607	28	124416	130	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 11:18:22	944	"c1937 "	2752	0	0	32	126208	352	2	1	"01103FE3B3"	"F03"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"firstVisit"
2022-02-04	2022-02-04 11:18:23	544	"c1931 "	15599	0	124607	29	0	134	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"3"
2022-02-04	2022-02-04 11:18:25	971	"c1937 "	2752	0	0	27	126464	194	1	1	"01103FE3B3"	"F03"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"3"
2022-02-04	2022-02-04 11:18:30	347	"c1931 "	15599	0	124607	186	124672	4345	27	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 11:19:11	70	"c1931 "	15599	0	129442	26	124672	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"41"
