"","TagID_hex","criterion"
"1","011016C1FD",NA
"2","011016E61D",NA
"3","01103F3BED",NA
"4","01103F49F0",NA
"5","01103F4AD8",NA
"6","01103F4B02",NA
"7","01103F6817",8
"8","01103F7DB1",NA
"9","01103F8B45",NA
"10","01103F9C82",NA
"11","01103F9ECD",5
"12","01103FA467",NA
"13","01103FA9CB",NA
"14","01103FAD4D",NA
"15","01103FAD65",NA
"16","01103FB7C4",NA
"17","01103FBA74",NA
"18","01103FC5AA",NA
"19","01103FC949",NA
"20","01103FC958",7
"21","01103FC974",NA
"22","01103FCA03",NA
"23","01103FD2FF",7
"24","01103FD3AC",NA
"25","01103FD851",NA
"26","01103FDF3E",NA
"27","01103FE02C",NA
"28","01103FE111",NA
"29","01103FE16A",NA
"30","01103FE3B3",NA
"31","01103FE42F",NA
"32","01103FE558",13
"33","01103FE612",5
"34","01103FE66A",9
"35","01103FE6E1",NA
"36","01103FE70C",NA
"37","3B0018182C",NA
"38","3B00183F78",NA
"39","3B001866DD",NA
"40","3B0018D076",NA
"41","3B0018D8D2",NA
"42","3B00190811",NA
"43","3B00193C3E",NA
"44","3B00193EAD",5
