"","TagID_hex","learningPhase","criterion","btoRingType","btoID","species","age","sex","wing","weight","correctedPhase"
"1","3B001856B3","IL",20,"N","ABR6030","BT",3,"U",64,10.5,"IL"
"2","3B0018947C","IL",54,"N","ABR6065","BT",3,"U",65,11,"IL"
"3","3B0018F7C4","IL",20,"N","ABR6070","BT",3,"U",64,10.4,"IL"
"4","3B0018D222","IL",20,"N","ABR6072","BT",3,"F",62,10,"IL"
"5","3B001909A5","IL",20,"N","ABR6076","BT",3,"U",NA,NA,"IL"
"6","3B00185D64","IL",38,"N","ABR6077","BT",3,"F",60,9.8,"IL"
"7","01103F9E19","IL",36,"N","ABR6082","BT",3,"U",61,9.8,"IL"
"8","3B0018E8B5","IL",35,"N","ABR6117","BT",3,"F",63,10,"IL"
"9","3B001925F4","IL",20,"N","ABR6119","BT",3,"U",64,11.1,"IL"
"10","3B0018F635","IL",22,"N","ABR6122","BT",3,"M",62,10.2,"IL"
"11","01103FC9E8","IL",20,"N","ABR6162","BT",3,"M",63,11.5,"IL"
"12","01103F7A57","IL",20,"N","ABR6163","BT",4,"M",67,10.6,"IL"
"13","01103FC0A0","IL",24,"N","ABR6183","BT",4,"F",62,10.5,"IL"
"14","01103FA225","IL",21,"N","ABR6204","BT",4,"F",64,11.2,"IL"
"15","01103FA060","IL",36,"N","ABR6212","BT",3,"M",65,11.1,"IL"
"16","01103FA0FD","IL",20,"N","ABR6272","BT",3,"M",66,10.9,"IL"
"17","3B0048BC1B","IL",20,"N","ABR6282","BT",3,"M",66,11.3,"IL"
"18","3B001903A1","IL",27,"N","ABR6313","BT",6,"F",61,10.5,"IL"
"19","3B0018A1CD","IL",28,"N","ABR6315","BT",5,"M",62,10.8,"IL"
"20","3B001925B8","IL",49,"R","ABR6320","BT",3,"M",61,9.9,"IL"
"21","3B00193B6E","IL",21,"N","ABR6353","BT",3,"M",65,11.4,"IL"
"22","3B0018B66C","IL",23,"N","ABR6356","BT",3,"M",65,10.3,"IL"
"23","3B001830A3","IL",23,"N","ABR6360","BT",3,"M",66,10.7,"IL"
"24","3B0018C8DF","IL",20,"N","ABR6370","BT",3,"F",60,9.6,"IL"
"25","3B00188A58","IL",29,"N","ABR6378","BT",4,"M",65,10.9,"IL"
"26","01103FA63B","IL",20,"N","ABR6402","BT",3,"F",64,10.7,"IL"
"27","01103FBD09","IL",27,"N","ABR6409","BT",3,"M",66,11.8,"IL"
"28","01103FA11E","IL",23,"N","ABR6413","BT",3,"M",63,10.1,"IL"
"29","01103FA038","IL",20,"N","ABR6414","BT",3,"M",63,10.6,"IL"
"30","3B00193B15","IL",20,"N","ABR6466","BT",3,"M",65,11,"IL"
"31","3B0018E70A","IL",20,"N","ABR6514","BT",4,"F",64,11.6,"IL"
"32","3B00187234","IL",20,"N","ABR6518","BT",4,"M",63,10.7,"IL"
"33","3B00186ACE","IL",20,"N","ABR6522","BT",3,"M",62,10.7,"IL"
"34","3B0019448F","IL",20,"N","ABR6608","BT",3,"M",65,11.3,"IL"
"35","3B00187503","IL",115,"N","ABR6618","BT",3,"F",61,11,"IL"
"36","3B0018B65C","IL",20,"N","ABR6672","BT",3,"M",63,10.7,"IL"
"37","3B00188B8C","IL",20,"R","ACX2433","BT",4,"M",66,11.1,"IL"
"38","01103FA593","IL",20,"R","AEP3416","BT",4,"M",64,10.6,"IL"
"39","3B0018831D","IL",20,"R","AJT8641","BT",4,"F",58,9.6,"IL"
"40","3B001928D7","IL",21,"R","AJT8687","BT",4,"M",64,11.7,"IL"
"41","3B00484FE8","IL",41,"R","AZP1276","BT",4,"M",65,10.9,"IL"
"42","3B0048CDD5","IL",29,"R","Z577990","BT",3,"F",59,10.7,"IL"
"43","3B001856B3","RL1",78,"N","ABR6030","BT",3,"U",64,10.5,"RL1"
"44","3B0018947C","RL1",30,"N","ABR6065","BT",3,"U",65,11,"RL1"
"45","3B0018F7C4","RL1",NA,"N","ABR6070","BT",3,"U",64,10.4,"RL1"
"46","3B0018D222","RL1",63,"N","ABR6072","BT",3,"F",62,10,"RL1"
"47","3B001909A5","RL1",NA,"N","ABR6076","BT",3,"U",NA,NA,"RL1"
"48","3B00185D64","RL1",53,"N","ABR6077","BT",3,"F",60,9.8,"RL1"
"49","01103F9E19","RL1",39,"N","ABR6082","BT",3,"U",61,9.8,"RL1"
"50","3B0018E8B5","RL1",35,"N","ABR6117","BT",3,"F",63,10,"RL1"
"51","3B001925F4","RL1",NA,"N","ABR6119","BT",3,"U",64,11.1,"RL1"
"52","3B0018F635","RL1",221,"N","ABR6122","BT",3,"M",62,10.2,"RL1"
"53","01103FC9E8","RL1",NA,"N","ABR6162","BT",3,"M",63,11.5,"RL1"
"54","01103F7A57","RL1",NA,"N","ABR6163","BT",4,"M",67,10.6,"RL1"
"55","01103FC0A0","RL1",33,"N","ABR6183","BT",4,"F",62,10.5,"RL1"
"56","01103FA225","RL1",NA,"N","ABR6204","BT",4,"F",64,11.2,"RL1"
"57","01103FA060","RL1",NA,"N","ABR6212","BT",3,"M",65,11.1,"RL1"
"58","01103FA0FD","RL1",NA,"N","ABR6272","BT",3,"M",66,10.9,"RL1"
"59","3B0048BC1B","RL1",89,"N","ABR6282","BT",3,"M",66,11.3,"RL1"
"60","3B0018F35B","RL1",NA,"N","ABR6287","BT",3,"F",61,11.2,"IL"
"61","3B001903A1","RL1",188,"N","ABR6313","BT",6,"F",61,10.5,"RL1"
"62","3B0018A1CD","RL1",NA,"N","ABR6315","BT",5,"M",62,10.8,"RL1"
"63","3B001925B8","RL1",40,"R","ABR6320","BT",3,"M",61,9.9,"RL1"
"64","3B00193B6E","RL1",NA,"N","ABR6353","BT",3,"M",65,11.4,"RL1"
"65","3B0018B66C","RL1",69,"N","ABR6356","BT",3,"M",65,10.3,"RL1"
"66","3B001830A3","RL1",92,"N","ABR6360","BT",3,"M",66,10.7,"RL1"
"67","3B0018C8DF","RL1",NA,"N","ABR6370","BT",3,"F",60,9.6,"RL1"
"68","3B00188A58","RL1",119,"N","ABR6378","BT",4,"M",65,10.9,"RL1"
"69","3B0019133A","RL1",21,"N","ABR6400","BT",3,"F",59,11,"IL"
"70","01103FA63B","RL1",NA,"N","ABR6402","BT",3,"F",64,10.7,"RL1"
"71","01103FB3AB","RL1",79,"N","ABR6407","BT",3,"M",64,10.9,"IL"
"72","01103FBD09","RL1",NA,"N","ABR6409","BT",3,"M",66,11.8,"RL1"
"73","01103FA64D","RL1",NA,"R","ABR6411","BT",4,"M",64,10.9,"IL"
"74","01103FCD75","RL1",20,"N","ABR6412","BT",4,"M",66,10.5,"IL"
"75","01103FA11E","RL1",51,"N","ABR6413","BT",3,"M",63,10.1,"RL1"
"76","01103FA038","RL1",44,"N","ABR6414","BT",3,"M",63,10.6,"RL1"
"77","01103FA023","RL1",NA,"N","ABR6443","BT",3,"F",62,10.5,"IL"
"78","3B00193B15","RL1",177,"N","ABR6466","BT",3,"M",65,11,"RL1"
"79","3B00187CB5","RL1",NA,"N","ABR6490","BT",3,"M",66,11.3,"IL"
"80","3B0018E70A","RL1",212,"N","ABR6514","BT",4,"F",64,11.6,"RL1"
"81","3B00187234","RL1",38,"N","ABR6518","BT",4,"M",63,10.7,"RL1"
"82","01103FB23C","RL1",20,"N","ABR6546","BT",3,"F",61,11.1,"IL"
"83","3B0019448F","RL1",NA,"N","ABR6608","BT",3,"M",65,11.3,"RL1"
"84","3B0018A886","RL1",20,"N","ABR6616","BT",3,"F",61,11,"IL"
"85","3B00187503","RL1",119,"N","ABR6618","BT",3,"F",61,11,"RL1"
"86","3B0018B65C","RL1",NA,"N","ABR6672","BT",3,"M",63,10.7,"RL1"
"87","3B00188B8C","RL1",172,"R","ACX2433","BT",4,"M",66,11.1,"RL1"
"88","01103FA593","RL1",NA,"R","AEP3416","BT",4,"M",64,10.6,"RL1"
"89","3B001928D7","RL1",NA,"R","AJT8687","BT",4,"M",64,11.7,"RL1"
"90","3B00484FE8","RL1",27,"R","AZP1276","BT",4,"M",65,10.9,"RL1"
"91","3B0048CDD5","RL1",146,"R","Z577990","BT",3,"F",59,10.7,"RL1"
"92","3B001856B3","RL2",26,"N","ABR6030","BT",3,"U",64,10.5,"RL2"
"93","3B0018947C","RL2",20,"N","ABR6065","BT",3,"U",65,11,"RL2"
"94","3B0018F7C4","RL2",20,"N","ABR6070","BT",3,"U",64,10.4,"RL2"
"95","3B0018D222","RL2",241,"N","ABR6072","BT",3,"F",62,10,"RL2"
"96","3B001909A5","RL2",41,"N","ABR6076","BT",3,"U",NA,NA,"RL2"
"97","3B00185D64","RL2",24,"N","ABR6077","BT",3,"F",60,9.8,"RL2"
"98","01103F9E19","RL2",22,"N","ABR6082","BT",3,"U",61,9.8,"RL2"
"99","01103FA4AE","RL2",60,"N","ABR6093","BT",3,"M",64,11.3,"IL"
"100","3B001881AF","RL2",20,"N","ABR6109","BT",3,"M",65,11.6,"IL"
"101","3B0018E8B5","RL2",20,"N","ABR6117","BT",3,"F",63,10,"RL2"
"102","3B001925F4","RL2",31,"N","ABR6119","BT",3,"U",64,11.1,"RL2"
"103","3B0018F635","RL2",34,"N","ABR6122","BT",3,"M",62,10.2,"RL2"
"104","3B00191BA6","RL2",21,"N","ABR6128","BT",4,"F",63,11.1,"IL"
"105","01103FC9E8","RL2",42,"N","ABR6162","BT",3,"M",63,11.5,"RL2"
"106","01103FC0A0","RL2",28,"N","ABR6183","BT",4,"F",62,10.5,"RL2"
"107","01103FA225","RL2",26,"N","ABR6204","BT",4,"F",64,11.2,"RL2"
"108","01103FA0FD","RL2",72,"N","ABR6272","BT",3,"M",66,10.9,"RL2"
"109","3B0048BC1B","RL2",53,"N","ABR6282","BT",3,"M",66,11.3,"RL2"
"110","3B0018F35B","RL2",25,"N","ABR6287","BT",3,"F",61,11.2,"RL1"
"111","3B001903A1","RL2",123,"N","ABR6313","BT",6,"F",61,10.5,"RL2"
"112","3B0018A1CD","RL2",21,"N","ABR6315","BT",5,"M",62,10.8,"RL2"
"113","3B001925B8","RL2",52,"R","ABR6320","BT",3,"M",61,9.9,"RL2"
"114","3B00193B6E","RL2",27,"N","ABR6353","BT",3,"M",65,11.4,"RL2"
"115","3B0018B66C","RL2",31,"N","ABR6356","BT",3,"M",65,10.3,"RL2"
"116","3B001830A3","RL2",33,"N","ABR6360","BT",3,"M",66,10.7,"RL2"
"117","3B00188A58","RL2",46,"N","ABR6378","BT",4,"M",65,10.9,"RL2"
"118","3B0019133A","RL2",45,"N","ABR6400","BT",3,"F",59,11,"RL1"
"119","01103FA63B","RL2",NA,"N","ABR6402","BT",3,"F",64,10.7,"RL2"
"120","01103FB3AB","RL2",34,"N","ABR6407","BT",3,"M",64,10.9,"RL1"
"121","01103FBD09","RL2",139,"N","ABR6409","BT",3,"M",66,11.8,"RL2"
"122","01103FA11E","RL2",20,"N","ABR6413","BT",3,"M",63,10.1,"RL2"
"123","01103FA038","RL2",28,"N","ABR6414","BT",3,"M",63,10.6,"RL2"
"124","3B00193B15","RL2",37,"N","ABR6466","BT",3,"M",65,11,"RL2"
"125","3B00187CB5","RL2",25,"N","ABR6490","BT",3,"M",66,11.3,"RL1"
"126","3B00485D41","RL2",21,"R","ABR6497","BT",3,"F",63,16.4,"IL"
"127","3B0018E70A","RL2",NA,"N","ABR6514","BT",4,"F",64,11.6,"RL2"
"128","3B00187234","RL2",22,"N","ABR6518","BT",4,"M",63,10.7,"RL2"
"129","01103FB23C","RL2",34,"N","ABR6546","BT",3,"F",61,11.1,"RL1"
"130","3B0019448F","RL2",26,"N","ABR6608","BT",3,"M",65,11.3,"RL2"
"131","3B00187503","RL2",65,"N","ABR6618","BT",3,"F",61,11,"RL2"
"132","3B0018B65C","RL2",40,"N","ABR6672","BT",3,"M",63,10.7,"RL2"
"133","3B00188B8C","RL2",57,"R","ACX2433","BT",4,"M",66,11.1,"RL2"
"134","3B001928D7","RL2",36,"R","AJT8687","BT",4,"M",64,11.7,"RL2"
"135","3B00484FE8","RL2",26,"R","AZP1276","BT",4,"M",65,10.9,"RL2"
"136","3B0048CDD5","RL2",115,"R","Z577990","BT",3,"F",59,10.7,"RL2"
"137","01103FE684","IL",21,"N","ABR6031","GT",4,"M",78,19.7,"IL"
"138","01103FE611","IL",20,"N","ABR6036","GT",3,"M",76,18.6,"IL"
"139","3B001865FB","IL",20,"N","ABR6040","GT",3,"M",77,18.9,"IL"
"140","3B00185FBF","IL",20,"N","ABR6046","GT",4,"M",78,19.5,"IL"
"141","3B0018953F","IL",20,"N","ABR6100","GT",4,"M",77,19.7,"IL"
"142","3B0018CC1F","IL",20,"N","ABR6112","GT",3,"F",74,17,"IL"
"143","3B0019289B","IL",41,"N","ABR6196","GT",3,"M",76,19,"IL"
"144","3B0018489F","IL",20,"N","ABR6273","GT",3,"F",74,17.4,"IL"
"145","3B0018A49A","IL",24,"N","ABR6316","GT",5,"F",73,17.9,"IL"
